floor,blook,class,x,y,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,ac:a3:1e:61:fe:10,ac:a3:1e:61:fe:00,9c:1c:12:34:81:30,9c:1c:12:34:81:20,24:de:c6:3c:f3:80,time,telefon,açıklama
1,D,205,14.82,6.76,-64,-52,-67,-79,,,,,,13.44,d,en sağ en arka 4. sıra duvar tarafı
1,D,205,16.62,6.76,-61,-49,-70,,-86,-76,,,,13.54,d,en sağ en arka duvar 6.sıra taraf
1,D,205,16.62,6.76,-57,-55,-70,,-85,,,,,13.55,d,en sağ en arka duvar 6.sıra taraf
1,D,205,16.62,6.76,-49,-46,-68,-71,-88,-79,-86,,,13.56,e,en sağ en arka duvar 6.sıra taraf
1,D,205,16.62,6.76,-51,,-72,-74,-87,-79,,,,14.02,e,en sağ en arka duvar 6.sıra taraf
1,D,205,18.56,6.76,-61,-39,-67,,-90,-72,-86,,-86,14.52,d,en sağ en arka duvar 8. sıra tarafı
1,D,205,18.56,6.76,-62,-31,-67,,-90,,,,-86,14.54,d,en sağ en arka duvar 8. sıra tarafı
1,D,205,18.56,6.76,-67,-39,-64,-90,-90,-68,,,,12.55,d,en sağ en arka duvar 8. sıra tarafı
1,D,205,18.56,6.76,-56,-41,-69,,-75,-74,,,-82,12.18,e,en sağ en arka duvar 8. sıra tarafı
1,D,205,18.56,6.76,-55,-38,-71,,-75,-74,-86,-89,-82,12.18,e,en sağ en arka duvar 8. sıra tarafı
1,D,205,20.36,6.76,-67,-52,-58,,-82,-70,-84,-80,-86,12.57,d,en sağ en arka duvar 9. sıra tarafı
1,D,205,20.36,6.76,-69,-43,-69,,-82,-74,-84,-80,-86,12.57,d,en sağ en arka duvar 9. sıra tarafı
1,D,205,20.36,6.76,-55,-33,-65,-77,,-69,-80,,,12.23,e,en sağ en arka duvar 9. sıra tarafı
1,D,205,20.36,6.76,-56,-32,-63,-77,,-67,-78,,,12.23,e,en sağ en arka duvar 9. sıra tarafı
1,D,205,22.01,6.76,-72,-48,-70,-86,-84,-73,-80,-74,-86,13.01,d,en sağ kapı tarafı 
1,D,205,22.01,6.76,-72,-54,-68,-82,-84,-72,-80,-68,-86,13.02,d,en sağ kapı tarafı 
1,D,205,22.01,6.76,-55,-46,-60,,,-66,,-79,,12.26,e,en sağ kapı tarafı 
1,D,205,22.01,6.76,-62,-48,-73,,,-76,,,,,e,en sağ kapı tarafı 
