class,blook,floor,x,y,notes,ac:a3:1e:62:18:f0,ac:a3:1e:62:18:e0,ac:a3:1e:62:5c:c0,ac:a3:1e:62:5c:d0,24:de:c6:3c:f3:80,ac:a3:1e:61:fe:10,ac:a3:1e:61:fe:00,9c:1c:12:34:81:30,9c:1c:12:34:81:20,ac:a3:1e:62:32:20,ac:a3:1e:62:32:30
204,D,1,7.14,4.95,en sağ arka 8. sıra,-64,-71,-68,-66,-100,-100,-100,-100,-100,-100,-100
204,D,1,2025-09-08 00:00:00,4.95,en sağ arka 9. sıra,-72,-68,-63,-82,-86,-100,-100,-100,-100,-100,-100
204,D,1,2025-09-08 00:00:00,4.95,en sağ arka 9. sıra,-74,-76,-64,-79,-86,-100,-100,-100,-100,-100,-100
204,D,1,2025-09-08 00:00:00,4.95,en sağ arka 9. sıra,-74,-76,-64,-79,-86,-100,-100,-100,-100,-100,-100
204,D,1,2025-09-08 00:00:00,4.95,en sağ arka 9. sıra,-74,-69,-64,-79,-86,-100,-100,-100,-100,-100,-100
204,D,1,2025-09-08 00:00:00,4.95,en sağ arka 9. sıra,-67,-66,-63,-69,-100,-100,-100,-100,-100,-100,-100
204,D,1,2025-09-08 00:00:00,4.95,en sağ arka 9. sıra,-64,-66,-59,-68,-81,-100,-100,-100,-100,-100,-100
204,D,1,2025-09-08 00:00:00,4.95,en sağ arka 9. sıra,-59,-66,-60,-72,-100,-100,-100,-100,-100,-100,-100
204,D,1,0,6.83,sağ en arka köşe,-78,-78,-75,-73,-100,-100,-100,-100,-100,-100,-100
204,D,1,0,6.83,sağ en arka köşe,-76,-84,-81,-78,-100,-100,-100,-100,-100,-100,-100
204,D,1,0,6.83,sağ en arka köşe,-100,-70,-67,-100,-86,-100,-100,-100,-100,-100,-100
204,D,1,0,6.83,sağ en arka köşe,-90,-100,-74,-86,-100,-100,-100,-100,-100,-100,-100
204,D,1,0,6.83,sağ en arka köşe,-90,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100
204,D,1,1.80,6.83,sağ köşe yanı duvar askılık,-100,-68,-62,-70,-100,-100,-100,-100,-100,-100,-100
